"Business Name","Location","Phone","Email","License Number","License Type","Status","Issue Date","Expire Date","DBA/Other Names","Contracted Movers"
"Friendly Hands Moving LLC","12718 Bideford Avenue, Windermere, FL 34786  ","(407) 501-7070","friendlyhandsmoving@gmail.com","IM150003","Intrastate Movers","Registered","07/28/2026","07/28/2028","",""
"Owl Moving LLC","3750 Creekside Drive, Sebring, FL 33875  ","(863) 991-2868","owlmovingfl@gmail.com","IM3917","Intrastate Movers","Registered","07/15/2026","06/25/2028","",""
"Latin Moving. Corp","11317 Northwest 50th Terrace, Doral, FL 33178  ","(786) 863-6413","latinmoving@outlook.com","IM3926","Intrastate Movers","Registered","08/11/2026","07/12/2028","",""
"Gosine Corp.","39900 County Road 25, Lady Lake, FL 32159  ","(352) 470-1190","gosinecorp@gmail.com","IM1994","Intrastate Movers","Registered","08/12/2026","07/20/2028","U-Call I-Haul",""
"Hermes Moving LLC","1328 Wiley Street, Unit 114, Hollywood, FL 33019 ","(754) 295-1213","p.kolennikov@gmail.com","IM150009","Intrastate Movers","Registered","08/14/2026","08/14/2028","",""
"Delightful Moving, Inc.","1504 North 57th Terrace, Hollywood, FL 33021  ","(786) 505-4285","admin@delightfulmoving.com","IM3316","Intrastate Movers","Registered","08/14/2026","07/22/2028","",""
"I 95 Relocation Inc.","4696 Southwest 33rd Avenue, Fort Lauderdale, FL 33312  ","(305) 917-5867","i95relo@gmail.com","IM100002","Intrastate Movers","Registered","07/10/2026","07/10/2028","",""
"CJ Moving LLC","1013 Park Court, Safety Harbor, FL 34695  ","(319) 310-7355","customerservice@leetrans.com","IM150001","Intrastate Movers","Registered","07/10/2026","07/10/2028","PINK ZEBRA MOVING OF CLEARWATER FL",""
"First Class Movers, LLC","7905 Northwest 60th Street, Miami, FL 33166  ","(786) 336-1982","monica@firstclassmoersmiami.com","IM2122","Intrastate Movers","Registered","08/23/2026","08/23/2028","",""
"Calcano, Inc.","1265 Southwest 4th Avenue, Delray Beach, FL 33444  ","(631) 293-2113","victorc@josephbarton.com","IM1232","Intrastate Movers","Registered","08/05/2026","07/21/2028","JOSEPH BARTON",""
"Interiors For Seniors, LLC","2102 Palm Vista Drive, Apopka, FL 32712  ","(321) 279-3301","INTERIORSFORSENIORS@GMAIL.COM","IM3005","Intrastate Movers","Registered","08/07/2026","07/10/2028","",""
"DRN Moving, Inc.","121 Overseas Highway, Suite 105, Key West, FL 33040 ","(305) 295-6683","info@drnmoving.com","IM26","Intrastate Movers","Registered","08/10/2026","07/26/2028","",""
"Wood World of Lakeland, Inc.","6150 US Highway 98 North, Lakeland, FL 33809  ","(883) 816-9663","woodworldfurnitureconsignment@gmail.com","IM2636","Intrastate Movers","Registered","08/12/2026","07/22/2028","",""
"Valido Moving Company Inc.","471 West 31st Place, Hialeah, FL 33012  ","(305) 821-2852","contact@rickyvalido.com","IM150007","Intrastate Movers","Registered","08/13/2026","08/13/2028","",""
"T&E Moving and Storage Branch LLC","5201 Ravenswood Road, 115, Dania Beach, FL 33312 ","(980) 279-5945","info@moving-hub.net","IM150010","Intrastate Movers","Registered","08/17/2026","08/17/2028","Moving Hub",""
"Hands on Deck Moving Company L.L.C.","2504 67th Street West, Lehigh Acres, FL 33971  ","(239) 201-7766","Hodmovingco@gmail.com","IM3164","Intrastate Movers","Registered","08/18/2026","06/30/2028","",""
"Expert Movers Inc.","3000 West Columbus Drive, Tampa, FL 33607  ","(813) 856-6565","Expertmovers2014@Gmail.com","IM3003","Intrastate Movers","Registered","08/19/2026","07/05/2028","",""
"AAA Insta-Move Inc.","19711 State Road 44, Eustis, FL 32736  ","(407) 324-5129","charles@instamove.com","IM42","Intrastate Movers","Registered","08/20/2026","08/06/2028","Cows Of Sanford",""
"Merritt Transfer and Storage Co. Inc.","190 Southeast 2nd Avenue, Delray Beach, FL 33444  ","(561) 276-6887","move@merritttransfer.net","IM114","Intrastate Movers","Registered","08/27/2026","08/27/2028","",""
"George Lima Moving, Inc.","9105 Northwest 105th Circle, Medley, FL 33178  ","(305) 261-3030","georgelimamoving@gmail.com","IM58","Intrastate Movers","Registered","08/14/2026","08/08/2028","",""
"Stateliner Moving LLC","1645 Acme Street, Orlando, FL 32805  ","(407) 815-3311","info@thelocalmovers.com","IM3641","Intrastate Movers","Registered","08/08/2026","08/08/2028","The Local Movers",""
"Lu's Delivery LLC","3925 Northwest 4th Street, Miami, FL 33126  ","(786) 837-1397","Ludeliveryllc@gmail.com","IM3267","Intrastate Movers","Registered","07/09/2026","03/24/2028","Lux Moving Service",""
"Prestige Premier Moving Solutions LLC","7825 North Dale Mabry Highway, STE 210, Tampa, FL 33614 ","(813) 310-4895","ppmoversllc@gmail.com","IM150006","Intrastate Movers","Registered","08/10/2026","08/10/2028","",""
"The Fortress-Miami Corporation","1629 Northeast 1st Avenue, Miami, FL 33132  ","(305) 374-6161","kjones@thefortress.com","IM162","Intrastate Movers","Registered","09/10/2026","09/10/2028","Fortress",""
"Elyon Moving LLC","5210 Southwest 5th Street, Miami, FL 33134  ","(786) 519-9463","elyonmoving@gmail.com","IM150008","Intrastate Movers","Registered","08/14/2026","08/14/2028","",""
"Albert's Relocation Services, LLC","9452 Southwest 52nd Court, Cooper City, FL 33328  ","(954) 226-7912","albertsrelocationservices@gmail.com","IM2653","Intrastate Movers","Registered","08/18/2026","07/06/2028","",""
"Gulf Coast Van Lines LLC","8435 East Adamo Drive, Tampa, FL 33619  ","(813) 344-7294","GENA@GULFCOASTVANLINES.COM","IM2181","Intrastate Movers","Registered","08/11/2026","06/05/2028","Florida state movers",""
"American Moving & Storage Inc.","2180 Belcher Road South, Largo, FL 33771  ","(727) 300-9999","americanmovingsystem@gmail.com","IM3007","Intrastate Movers","Registered","08/11/2026","07/12/2028","",""
"Freedom Movers, Inc","4813 Country Oaks Boulevard, Sarasota, FL 34243  ","(941) 358-4984","freedommovers@aol.com","IM7","Intrastate Movers","Registered","08/06/2026","07/16/2028","",""
"Cento Moving LLC","717 South Kirkman Road, Orlando, FL 32811  ","(407) 602-1839","felipe@centomoving.com","IM2223","Intrastate Movers","Registered","08/07/2026","04/03/2028","",""
"Coastal Van Lines Inc","1622 91st Court, Vero Beach, FL 32966  ","(772) 569-6683","billing@coastalvanlines.com","IM31","Intrastate Movers","Registered","08/07/2026","08/01/2028","",""
"Perfect Solutions 2, LLC","1551 West Copans Road, Suite 105, Pompano Beach, FL 33064 ","(954) 366-5663","jackie@perfectsolutions2.com","IM2977","Intrastate Movers","Registered","08/07/2026","05/15/2028","",""
"T&E Moving and Storage LLC","11337 Hillsong Court, Jacksonville, FL 32256  ","(904) 997-1884","t-emoving@hotmail.com","IM1582","Intrastate Movers","Registered","08/17/2026","07/30/2028","",""
