Company Name,Tariff / Rates,Tariff / Rates,Doing Business As,Certificate Number,City / Town,State
ARNOFF MOVING & STORAGE INC,arnoff moving storage inc,https://www.mass.gov/doc/arnoff-moving-storage-inc/download,SAME,2586,POUGHKEEPSIE,NEW YORK
ATLANT MOVING LLC,atlant moving tariff 062524,https://www.mass.gov/doc/atlant-moving-tariff-062524/download,SAME,23HG39,MALDEN,MASSACHUSETTS
B&W MOVING LLC,B&W MOVING LLC,https://www.mass.gov/doc/b-and-w-tariff-2026pdf,SAME,32013,IPSWICH,MASSACHUSETTS
BAS ENTERPRISE LLC,bas enterprise 23hg16 tariff 0,https://www.mass.gov/doc/bas-enterprise-23hg16-tariff-0/download,COLLEGE HUNKS BOSTON SOUTH EAST,23HG16,WEYMOUTH,MASSACHUSETTS
BATES MOVING LLC,bates moving llc tariff,https://www.mass.gov/doc/bates-moving-llc-tariff,SAME,24HG28,DUXBURY,MASSACHUSETTS
BELL AIR MOVING INC,bell air tariff 062524,https://www.mass.gov/doc/bell-air-tariff-062524/download,SAME,31770,DEDHAM,MASSACHUSETTS
"BELLHOPS MOVING, LLC",bellhops moving llc 31967 tariff,https://www.mass.gov/doc/bellhops-moving-llc-31967-tariff,SAME,31967,CHATTANOOGA,TENNESSEE
BERT HILL MOVERS,bert hill tariff 2023 cert 1004,https://www.mass.gov/doc/bert-hill-tariff-2023-cert-1004,"BERT HILL'S EXPRESS, INC.",1004,WESTFIELD,MASSACHUSETTS
BETTER CALL MOVING INC,better call moving tariff,https://www.mass.gov/doc/better-call-moving-tariff/download,SAME,25HG39,BOSTON,MASSACHUSETTS
BIG BEAR MOVERS LLC,big bear movers llc 25hg11 tariff,https://www.mass.gov/doc/big-bear-movers-llc-25hg11-tariff/download,SAME,25HG11,ACTON,MASSACHUSETTS
"BIG FOOT MOVING & STORAGE, INC",big foot mdpu tariff 09 10 25 version,https://www.mass.gov/doc/big-foot-mdpu-tariff-09-10-25-version/download,SAME,31023,ACTON,MASSACHUSETTS
BINDING MOVING AND STORAGE LLC,binding moving and storage llc,https://www.mass.gov/doc/binding-moving-and-storage-llc/download,SAME,25HG18,WALTHAM,MASSACHUSETTS
BLACK LAB ENTERPRISES LLC,black lab dba casey movers 31869 tariff 2025,https://www.mass.gov/doc/black-lab-dba-casey-movers-31869-tariff-2025,CASEY MOVERS,31869,ROCKLAND,MASSACHUSETTS
BOOMERANG STORAGE LLC,boomerang tariff 10 15 25,https://www.mass.gov/doc/boomerang-tariff-10-15-25/download,SAME,31673,LUDLOW,MASSACHUSETTS
"BORMANN BROTHERS, INC.",bormann brothers inc,https://www.mass.gov/doc/bormann-brothers-inc/download,SAME,2311,HUDSON,NEW HAMPSHIRE
BORN TO MOVE LLC,born to move llc,https://www.mass.gov/doc/born-to-move-llc/download,SAME,32017,WATERTOWN,MASSACHUSETTS
BOSTON BEST RATE MOVERS,boston best rate movers 31391 tariff,https://www.mass.gov/doc/boston-best-rate-movers-31391-tariff/download,"FLAT RATE MOVING & STORAGE, INC.",31391,WALTHAM,MASSACHUSETTS
BOSTON HARBOR MOVING,boston harbor moving,https://www.mass.gov/doc/boston-harbor-moving/download,BOSTON HARBOR MOVING LLC,31986,LOWELL,MASSACHUSETTS
BOSTON HOUSEHOLD PACKING INC,boston household packing inc,https://www.mass.gov/doc/boston-household-packing-inc/download,SAME,30943,TYNGSBORO,MASSACHUSETTS
BOSTON LOW PRICE MOVERS INC,boston low price movers tariff submitted 12 16 24,https://www.mass.gov/doc/boston-low-price-movers-tariff-submitted-12-16-24,SAME,24HG57,CHELSEA,MASSACHUSETTS
"BRAVE SOLUTIONS, INC.",brave movers,https://www.mass.gov/doc/brave-movers/download,BRAVE MOVERS,32039,ASHLAND,MASSACHUSETTS
BRICKHOUSE MOVING COMPANY INC,brickhouse moving company inc 0,https://www.mass.gov/doc/brickhouse-moving-company-inc-0,SAME,31583,PEABODY,MASSACHUSETTS
BRIDGES BROS MOVERS,bridges bros movers,https://www.mass.gov/doc/bridges-bros-movers/download,CROWDED STREET HOLDINGS LLC,30321,EXETER,NEW HAMPSHIRE
BRISTOL PLYMOUTH MOVING & STORAGE,bristol plymouth moving stor,https://www.mass.gov/doc/bristol-plymouth-moving-stor/download,SAME,2186,FALL RIVER,MASSACHUSETTS
BROOKLINE MOVING COMPANY,brookline moving company,https://www.mass.gov/doc/brookline-moving-company/download,PATRICK E LUNDGREN DBA,1178,BELMONT,MASSACHUSETTS
"BROOKLINE TRANSPORTATION CO., INC.",brookline trans co inc,https://www.mass.gov/doc/brookline-trans-co-inc/download,SAME,1880,HANOVER,MASSACHUSETTS
BROTHER MOVERS COMPANY LLC,brother movers company llc,https://www.mass.gov/doc/brother-movers-company-llc/download,SAME,31797,LAWRENCE,MASSACHUSETTS
BUNKER HILL MOVING COMPANY INC,bunker hill moving company inc,https://www.mass.gov/doc/bunker-hill-moving-company-inc/download,SAME,31589,QUINCY,MASSACHUSETTS
"BURKHARDT BROTHERS, INC.",burkhardt brothers inc,https://www.mass.gov/doc/burkhardt-brothers-inc/download,SAME,3574,HINGHAM,MASSACHUSETTS
"C & C MOVES, LLC",c c moves llc,https://www.mass.gov/doc/c-c-moves-llc/download,SAME,31775,BEVERLY,MASSACHUSETTS
"CAPE COD MOVING, INC.",cape cod moving 29838 tariff,https://www.mass.gov/doc/cape-cod-moving-29838-tariff/download,SAME,29838,FALMOUTH,MASSACHUSETTS
CAPITAL GROUP WESTERN MASS LLC,capital group of western mass 23hg40 tariff,https://www.mass.gov/doc/capital-group-of-western-mass-23hg40-tariff/download,TWO MEN AND A TRUCK,23HG40,WILMINGTON,NORTN CAROLINA
"CARMEL MOVERS, INC.",carmel movers inc,https://www.mass.gov/doc/carmel-movers-inc/download,SAME,31125,BOSTON,MASSACHUSETTS
CARROLL'S MARTHA'S VINEYARD RT,carrolls marthas vineyard ra,https://www.mass.gov/doc/carrolls-marthas-vineyard-ra/download,SAME,3339,TISBURY,MASSACHUSETTS
CASTINE MOVING & STORAGE,castine moving and storage 4690 tariff 2024,https://www.mass.gov/doc/castine-moving-and-storage-4690-tariff-2024,FRANK L CASTINE INC,4690,ATHOL,MASSACHUSETTS
CASTLE EXPRESS MOVING LLC,castine moving 4690 tariff,https://www.mass.gov/doc/castine-moving-4690-tariff/download,SAME,23HG41,ENFIELD,CONNECTICUT
CENTAUR MOVING INC,centaur moving 32001 tariff,https://www.mass.gov/doc/centaur-moving-32001-tariff/download,SAME,32001,CAMBRIDGE,MASSACHUSETTS
CHARLES RIVER MOVERS,charles river movers,https://www.mass.gov/doc/charles-river-movers/download,SAME,25149,WALTHAM,MASSACHUSETTS
CHRIS CORRIGAN MOVING INC,chris corrigan moving inc,https://www.mass.gov/doc/chris-corrigan-moving-inc/download,SAME,30933,CENTRAL FALLS,RHODE ISLAND
CISCO'S MOVING SERVICES INC,ciscos moving services inc 24hg48 tariff 2024,https://www.mass.gov/doc/ciscos-moving-services-inc-24hg48-tariff-2024,SAME,24HG48,LINCOLN,RHODE ISLAND
CITY HAUL TRUCKING,city haul trucking,https://www.mass.gov/doc/city-haul-trucking/download,SAME,28718,LOWELL,MASSACHUSETTS
CLARK MOVING CO,clark moving co,https://www.mass.gov/doc/clark-moving-co/download,SAME,31822,WALPOLE,MASSACHUSETTS
CLARK RELOCATIONS LLC,clarks relocation 32027 tariff,https://www.mass.gov/doc/clarks-relocation-32027-tariff/download,PIONEER MOVING,32027,SOUTH HADLEY,MASSACHUSETTS
CLEAN SLATE MOVERS LLC,clean slate movers llc,https://www.mass.gov/doc/clean-slate-movers-llc,SAME,25HG03,BEVERLY,MASSACHUSETTS
CLUTTER INC,clutter inc tariff,https://www.mass.gov/doc/clutter-inc-tariff,SAME,22HG03,FRANKLIN,MASSACHUSETTS
COLLEGE BOUND MOVERS INC,college bound movers inc,https://www.mass.gov/doc/college-bound-movers-inc/download,SAME,31410,MERRIMACK,NEW HAMPSHIRE
COLLEGE HUNKS HAULING JUNK & M,thunderstealers llc dba chhj moving 31708 tariff,https://www.mass.gov/doc/thunderstealers-llc-dba-chhj-moving-31708-tariff/download,THUNDERSTEALERS LLC,31708,FOXBORO,MASSACHUSETTS
COLLEGE HUNKS HAULING JUNK & MOVING,arima enterprises inc,https://www.mass.gov/doc/arima-enterprises-inc/download,"ARIMA ENTERPRISES, INC.",31970,WINDHAM,NEW HAMPSHIRE
COMPASS MOVING AND STORAGE INC,compass moving and storage inc,https://www.mass.gov/doc/compass-moving-and-storage-inc/download,SAME,31162,DENNIS,MASSACHUSETTS
CONLON MOVING & STORAGE LLC,conlon moving and storage llc 5026 tariff 2024,https://www.mass.gov/doc/conlon-moving-and-storage-llc-5026-tariff-2024,SAME,5026,SEEKONK,MASSACHUSETTS
CONNORS BROS MOVING & STORAGE INC,connors bros mvg stor inc,https://www.mass.gov/doc/connors-bros-mvg-stor-inc/download,SAME,29287,WILLIAMSTOWN,MASSACHUSETTS
CONTINENTAL MOVING COMPANY LLC,continental moving company 24hg30 tariff,https://www.mass.gov/doc/continental-moving-company-24hg30-tariff/download,SAME,24HG30,QUINCY,MASSACHUSETTS
COUTU BROS. MOVING & STORAGE,coutu bros moving and storage 30878 tariff 2024,https://www.mass.gov/doc/coutu-bros-moving-and-storage-30878-tariff-2024,JMR HOLDINGS INC,30878,WARWICK,RHODE ISLAND
CRUGER'S TRUCKING,crugers trucking,https://www.mass.gov/doc/crugers-trucking/download,SAME,30173,MARBLEHEAD,MASSACHUSETTS
CUNHA TRUCKING & MOVING CO INC,coutu bros moving storage,https://www.mass.gov/doc/coutu-bros-moving-storage/download,SAME,31406,RUMFORD,RHODE ISLAND
DAHLKE'S MOVING AND STORAGE INC.,dahlkes moving tariff,https://www.mass.gov/doc/dahlkes-moving-tariff,SAME,1850,SPRINGFIELD,MASSACHUSETTS
"DALEY & WANZER, INC.",daley wanzer inc,https://www.mass.gov/doc/daley-wanzer-inc/download,SAME,1689,HULL,MASSACHUSETTS
DALTON PACKING,dalton packing,https://www.mass.gov/doc/dalton-packing/download,SAME,30242,MEDWAY,MASSACHUSETTS
DEMELLO MOVING SERVICES LLC,demello moving services llc,https://www.mass.gov/doc/demello-moving-services-llc/download,SAME,31939,AMESBURY,MASSACHUSETTS
DEPENDABLE MOVING & STORAGE LLC,dependable moving storage llc 32065 tariff,https://www.mass.gov/doc/dependable-moving-storage-llc-32065-tariff/download,SAME,32065,ROCKLAND,MASSACHUSETTS
DIAMOND RELOCATION INC,diamond relocation inc,https://www.mass.gov/doc/diamond-relocation-inc/download,SAME,31641,EAST HAMPSTEAD,NEW HAMPSHIRE
DIAZ MOVING SERVICES LLC,diaz moving tariff 062524,https://www.mass.gov/doc/diaz-moving-tariff-062524/download,SAME,23HG09,LYNN,MASSACHUSETTS
DIXIE WAREHOUSING INC,dixie warehousing inc,https://www.mass.gov/doc/dixie-warehousing-inc/download,SAME,31160,LAKEVILLE,MASSACHUSETTS
DIY MOBILE BOX,diy mobile box,https://www.mass.gov/doc/diy-mobile-box/download,THE BIG BIG BOX LLC,31582,WESTFIELD,MASSACHUSETTS
DN VANLINES INC,dn van lines intra tariff 062524,https://www.mass.gov/doc/dn-van-lines-intra-tariff-062524/download,SAME,30981,NORTHBOROUGH,MASSACHUSETTS
DOLLY INC,dolly inc,https://www.mass.gov/doc/dolly-inc/download,SAME,31923,SEATTLE,WASHINGTON
DOUBLE MW CORP,doublemw chhj springfield tariff 062524,https://www.mass.gov/doc/doublemw-chhj-springfield-tariff-062524/download,COLLEGE HUNKS HAULING JUNK & MOVING,23HG10,LUDLOW,MASSACHUSETTS
DRAKE CLEANOUTS AND MOVING LLC,drake cleanouts and moving llc tariff update october 2025,https://www.mass.gov/doc/drake-cleanouts-and-moving-llc-tariff-update-october-2025/download,SAME,23HG24,SANDWICH,MASSACHUSETTS
DUMBO MOVING & STORAGE INC,dumbo moving storage inc 31711 tariff,https://www.mass.gov/doc/dumbo-moving-storage-inc-31711-tariff/download,SAME,31711,BROOKLYN,NEW YORK
DZIDA MOVING CORP,Pending,Pending,SAME,25HG49,WALTHAM,MASSACHUSETTS
"E.A. SPRY & CO., INC.",ea spry commodity tariff 062524,https://www.mass.gov/doc/ea-spry-commodity-tariff-062524/download,SAME,1724,WOBURN,MASSACHUSETTS
EAGLE VAN LINES,eagle van lines,https://www.mass.gov/doc/eagle-van-lines/download,"CAREFUL MOVERS, LLC",31063,WATERTOWN,MASSACHUSETTS
EAST COAST BOSTON MOVERS INC,east coast boston movers 32012 tariff,https://www.mass.gov/doc/east-coast-boston-movers-32012-tariff/download,SAME,32012,LYNN,MASSACHUSETTS
EFFICIENT MOVING SERVICES,efficient moving services,https://www.mass.gov/doc/efficient-moving-services/download,SAME,31544,WALTHAM,MASSACHUSETTS
ELATE MOVING LLC,elate moving llc,https://www.mass.gov/doc/elate-moving-llc/download,SAME,31909,NEW YORK,NEW YORK
ESQUIRE MOVING INC,esquire moving 31796 tariff,https://www.mass.gov/doc/esquire-moving-31796-tariff/download,SAME,31796,WALTHAM,MASSACHUSETTS
EXELA MOVERS,exela movers,https://www.mass.gov/doc/exela-movers/download,SAME,31772,BOSTON,MASSACHUSETTS
EXPERT MOVING & STORAGE LLC,expert moving storage llc,https://www.mass.gov/doc/expert-moving-storage-llc/download,SAME,30620,NORWELL,MASSACHUSETTS
FABIO MOVING SERVICES,fabio moving services,https://www.mass.gov/doc/fabio-moving-services/download,SAME,31203,EVERETT,MASSACHUSETTS
FALLON MOVING & STORAGE INC,fallon moving storage inc,https://www.mass.gov/doc/fallon-moving-storage-inc/download,SAME,31377,WINDSOR,MASSACHUSETTS
FENWAY MOVERS,Fenway Movers   Tariff.pdf,https://www.mass.gov/files/documents/2023/01/19/Fenway%20Movers%20-%20Tariff.pdf,SAME,32052,BOSTON,MASSACHUSETTS
FERRICK BROS. MOVING,ferrick bros moving,https://www.mass.gov/doc/ferrick-bros-moving/download,SAME,30442,GROVELAND,MASSACHUSETTS
FIRST RATE MOVING LLC,first rate moving 32036 tariff,https://www.mass.gov/doc/first-rate-moving-32036-tariff/download,SAME,32036,SALEM,NEW HAMPSHIRE
"FITTON VAN & STORAGE, INC.",fitton van storage inc,https://www.mass.gov/doc/fitton-van-storage-inc/download,SAME,5091,FITCHBURG,MASSACHUSETTS
FIVE COLLEGE MOVERS LLC,five college movers llc 0,https://www.mass.gov/doc/five-college-movers-llc-0,SAME,31542,NORTHAMPTON,MASSACHUSETTS
FIVE STARS MOVERS,five stars movers 31179 tariff 2024,https://www.mass.gov/doc/five-stars-movers-31179-tariff-2024,TOP HILLS INC,31179,NEWTON,MASSACHUSETTS
FLANNERY'S HANDYMEN,flannerys handymen 31736 tariff,https://www.mass.gov/doc/flannerys-handymen-31736-tariff/download,SAME,31736,SWAMPSCOTT,MASSACHUSETTS
FLASH MOVING COMPANY LLC,flash moving company llc,https://www.mass.gov/doc/flash-moving-company-llc/download,SAME,31853,BOSTON,MASSACHUSETTS
FLEX STORAGE INC,flex storage inc,https://www.mass.gov/doc/flex-storage-inc/download,SAME,25HG32,MIAMI,FLORIDA
FOCUS MOVING SERVICES LLC,focus moving services 31812 tariff,https://www.mass.gov/doc/focus-moving-services-31812-tariff/download,SAME,31812,SOMERVILLE,MASSACHUSETTS
FRESH START THE MOVING CREW INC.,fresh start the moving crew inc tariff,https://www.mass.gov/doc/fresh-start-the-moving-crew-inc-tariff,SAME,31690,WORCESTER,MASSACHUSETTS
GALLO MOVING & STORAGE LLC,gallo moving storage llc,https://www.mass.gov/doc/gallo-moving-storage-llc/download,SAME,30644,MILFORD,MASSACHUSETTS
"GENTLE GIANT MOVING CO., INC.",gentle giant moving co inc,https://www.mass.gov/doc/gentle-giant-moving-co-inc/download,SAME,25908,SOMERVILLE,MASSACHUSETTS
GENTLE MOVERS,gentle giant moving co inc,https://www.mass.gov/doc/gentle-giant-moving-co-inc/download,"YOURELO SYSTEMS, INC.",31686,BOSTON,MASSACHUSETTS
"GENTRY, INC.",gentry inc,https://www.mass.gov/doc/gentry-inc/download,SAME,31408,CRANSTON,RHODE ISLAND
GOLD VINE MOVING AND STORAGE INC,gold vine moving and storage 22hg06 tariff,https://www.mass.gov/doc/gold-vine-moving-and-storage-inc-tariff-may-20-2025,SAME,22HG06,WESTFIELD,MASSACHUSETTS
GOOD GUYS MOVING & JUNK LLC,good guys moving and junk 24hg23 tariff,https://www.mass.gov/doc/good-guys-moving-and-junk-24hg23-tariff/download,SAME,24HG23,FOXBORO,MASSACHUSETTS
GR NOWELL & SON INC,gr nowell son inc 3228 tariff,https://www.mass.gov/doc/gr-nowell-son-inc-3228-tariff/download,SAME,3228,WINCHESTER,MASSACHUSETTS
HARRINGTON MOVING & STORAGE LLC,harrington moving storage llc,https://www.mass.gov/doc/harrington-moving-storage-llc/download,SAME,30059,ANDOVER,MASSACHUSETTS
HARTMAN RELOCATION SERVICES,hartman relocation services,https://www.mass.gov/doc/hartman-relocation-services/download,SAME,6771,LEOMINSTER,MASSACHUSETTS
HAUL OF FAME MOVERS LLC,haul of fame movers llc,https://www.mass.gov/doc/haul-of-fame-movers-llc/download,SAME,31976,WESTFIELD,MASSACHUSETTS
HILTZ MOVING & STORAGE INC,hiltz moving storage inc,https://www.mass.gov/doc/hiltz-moving-storage-inc/download,SAME,2569,GLOUCESTER,MASSACHUSETTS
HINGHAM MOVING SERVICES,hingham moving services,https://www.mass.gov/doc/hingham-moving-services/download,SAME,31832,HANOVER,MASSACHUSETTS
HOME RUN TRANSPORTATION,home run transportation 31866 tariff,https://www.mass.gov/doc/home-run-transportation-31866-tariff/download,SAME,31866,EAST WALLINGFORD,VERMONT
HOME TEAM MOVING COMPANY,home team moving company,https://www.mass.gov/doc/home-team-moving-company/download,SAME,31605,LEXINGTON,MASSACHUSETTS
HORIZON BOSTON MOVERS INC,horizon boston movers inc,https://www.mass.gov/doc/horizon-boston-movers-inc/download,SAME,31949,CAMBRIDGE,MASSACHUSETTS
"HUB DELIVERY, INC.",hub delivery inc 27237 tariff,https://www.mass.gov/doc/hub-delivery-inc-27237-tariff/download,SAME,27237,WILMINGTON,MASSACHUSETTS
HUMBOLDT STORAGE AND MVG. CO.,humboldt storage and mvg co,https://www.mass.gov/doc/humboldt-storage-and-mvg-co/download,"H. GOLDMAN, INC.",5343,CANTON,MASSACHUSETTS
"HUSKY MOVING, LLC",husky moving llc,https://www.mass.gov/doc/husky-moving-llc/download,SAME,31953,ARLINGTON,MASSACHUSETTS
HUSTLE MOVING COMPANY,hustle moving company,https://www.mass.gov/doc/hustle-moving-company/download,SAME,31993,RANDOLPH,MASSACHUSETTS
IDEAL MOVERS & STORAGE INC,ideal movers rates 2025,https://www.mass.gov/doc/ideal-movers-rates-2025/download,SAME,30103,HADLEY,MASSACHUSETTS
IN THE BOX,in the box,https://www.mass.gov/doc/in-the-box/download,SAME,31966,BOSTON,MASSACHUSETTS
INTELLIGENT LABOR AND MOVING,intelligent labor and moving,https://www.mass.gov/doc/intelligent-labor-and-moving/download,INTELLIGENT LABOR INC,31373,ARLINGTON,MASSACHUSETTS
ISAAC'S MOVING & STORAGE,isaacs moving storage,https://www.mass.gov/doc/isaacs-moving-storage/download,SAFE MOVERS INC,29953,STOUGHTON,MASSACHUSETTS
"J & S OFFICE INSTALLERS AND MOVERS, INC.",j s office installers and mo,https://www.mass.gov/doc/j-s-office-installers-and-mo/download,SAME,31771,SEEKONK,MASSACHUSETTS
J BRESNAHAN CO,j bresnahan co 6343 tariff,https://www.mass.gov/doc/j-bresnahan-co-6343-tariff/download,SAME,6343,HAVERHILL,MASSACHUSETTS
JIM GRANITSAS MOVING & STORAGE,jim granitsas moving storage,https://www.mass.gov/doc/jim-granitsas-moving-storage/download,SAME,31184,ESSEX,MASSACHUSETTS
JIMMY BURGOFF MOVING & HAULING,jimmy burgoff moving hauling,https://www.mass.gov/doc/jimmy-burgoff-moving-hauling/download,SAME,31384,BELCHERTOWN,MASSACHUSETTS
JONES MOVING & STORAGE CO LLC,jones moving storage co llc,https://www.mass.gov/doc/jones-moving-storage-co-llc/download,SAME,31106,PROVIDENCE,RHODE ISLAND
JUMP STREETS MOVERS INC,jumps streets movers inc,https://www.mass.gov/doc/jumps-streets-movers-inc/download,SAME,32004,REVERE,MASSACHUSETTS
KENNEDY'S PROPERTY SERVICES,kennedy property tariff,https://www.mass.gov/doc/kennedy-property-tariff,KENNEDY'S COMPANY,25HG19,MARBLEHEAD,MASSACHUSETTS
KID WITH A TRUCK LLC,kid with a truck tariff 2025,https://www.mass.gov/doc/kid-with-a-truck-tariff-2025,SAME,22HG04,COHASSET,MASSACHUSETTS
KILROY BROTHERS MOVING & STORAGE,kilroy bros inc,https://www.mass.gov/doc/kilroy-bros-inc/download,SAME,2497,BROCKTON,MASSACHUSETTS
KING AFFORDABLE MOVERS INC,king affordable movers inc,https://www.mass.gov/doc/king-affordable-movers-inc/download,SAME,32030,LYNN,MASSACHUSETTS
KIZAK SERVICES INC,kizak services inc,https://www.mass.gov/doc/kizak-services-inc,SAME,25HG29,BEVERLY,MASSACHUSETTS
LAIONA MOVING LLC,laiona moving llc,https://www.mass.gov/doc/laiona-moving-llc,SAME,25HG33,WINTHROP,MASSACHUSETTS
LARKIN MOVERS,larkin tariff,https://www.mass.gov/doc/larkin-tariff,JAMES E LARKIN INC,2881,BROOKLINE,MASSACHUSETTS
LAWTON & SONS INC,lawton sons inc,https://www.mass.gov/doc/lawton-sons-inc/download,SAME,31097,CRANSTON,RHODE ISLAND
LIBERTY MOVERS INC,liberty movers inc 0,https://www.mass.gov/doc/liberty-movers-inc-0/download,SAME,2111,LEICESTER,MASSACHUSETTS
LIBERTY MOVING & STORAGE INC,liberty moving storage inc,https://www.mass.gov/doc/liberty-moving-storage-inc/download,SAME,31005,WAREHAM,MASSACHUSETTS
LIFE TIME MOVING CO,lifetime moving co 31762 tariff,https://www.mass.gov/doc/lifetime-moving-co-31762-tariff/download,SAME,31762,FRAMINGHAM,MASSACHUSETTS
LIMITLESS MOVING & STORAGE LLC,limitless moving and storage 24hg29 tariff,https://www.mass.gov/doc/limitless-moving-and-storage-24hg29-tariff/download,BOSTON SMALL MOVES,24HG29,WALPOLE,MASSACHUSETTS
LONG MOVING AND STORAGE LLC,long moving and storage llc,https://www.mass.gov/doc/long-moving-and-storage-llc/download,SAME,31836,WESTPORT,MASSACHUSETTS
LOUIS A GENTILE PIANO SERVICE,louis a gentile piano service,https://www.mass.gov/doc/louis-a-gentile-piano-service/download,SAME,28145,QUINCY,MASSACHUSETTS
LOWE & SONS CORP,lowe sons corp 30969 tariff,https://www.mass.gov/doc/lowe-sons-corp-30969-tariff/download,SAME,30969,BOSTON,MASSACHUSETTS
